factor,integer,Min,Qu1,Median,Mean,Qu3,Max,Var,skewness,skew_p,dispersion_ratio,zero_ratio,type
catch_area,FALSE,0.06472945,35.0676915,337.96674,19862.3723135158,4337.152,1700259.1,13200486881.7801,10.2695506736353,0,664597.69625794,0,original
bio01,FALSE,-3.45,6.1041665,9.745833,11.4608036617005,14.670834,28.358334,47.592421946005,0.91019413947824,1.42570552101032e-60,4.15262518675269,0,original
bio12,FALSE,376.5,760,979,1113.4436997319,1260,3522,277736.950660483,1.82212325670123,1.48338709414353e-153,249.439599619951,0,original
HFP_Lights2009,TRUE,0,0,7,5.526618153964,9,10,16.6018774093102,-0.332522924779579,1.21307408562643e-11,3.00398488674351,0.277288395250862,original
V_lc1,FALSE,0,0.00102639969110322,0.0339742850847998,0.177068852669139,0.267290349068058,1,0.0661110327572221,1.66572987635771,5.49678203302022e-138,0.373363421972094,0.192263500574493,original
SamVolume,FALSE,0.05,0.25,0.7,7.29540022979701,2,400,731.599055883816,11.8665914798801,0,100.28223714111,0,original
SR_init_re,FALSE,0,3.08695652173913,6.88235294117647,9.80382791893599,10.8,55.4418604651163,131.127961850624,2.36834377486384,6.66956404630881e-148,13.3751798720734,0.0289389067524116,original
SR_init_ori,FALSE,0,3.91780821917808,9.74137931034483,14.3667463684073,23.027027027027,110.333333333333,230.812814003794,2.4262421669124,1.50477841420459e-200,16.0657679954144,0.00684380032206119,original
